From /home/will/bnl/hsr_lattice/EIC-HSR-240102b/hi-n/275-10-collision, run:
tao -init tao.init 
Then run:
sho track -points 1000 -twiss -dispersion -position no -momentum no
(Accurate as of April 5, 2024 - have to remove the px, py, pz columns manually)
# Ix S Beta_a Alpha_a Beta_b Alpha_b Eta_x Etap_x Eta_y Etap_y
136 518.093389 22.206789 -1.239385 26.242814 1.404012 0.619017 0.000459 -0.000000 0.000000
137 521.931118 33.401632 -1.677664 17.133923 0.969499 0.620780 0.000459 -0.000000 0.000000
138 525.768847 47.960468 -2.115943 11.360120 0.534985 0.622542 0.000459 -0.000000 0.000000
139 529.606576 38.650235 1.554469 14.856931 -0.776441 0.457741 -0.046444 -0.000000 0.000000
140 533.444304 28.014392 1.216260 22.405438 -1.190479 0.304217 -0.037435 -0.000000 0.000000
141 537.282033 19.982488 0.876619 33.131881 -1.604518 0.160552 -0.037435 -0.000000 0.000000
142 541.119762 15.223561 -0.408284 45.023491 0.862478 0.017654 -0.035523 -0.000000 0.000000
143 544.957491 24.447724 -1.490007 28.433316 1.942003 -0.117326 -0.034976 0.000000 0.000000
144 548.795220 37.815927 -1.993066 15.999076 1.297996 -0.221173 -0.019142 0.000000 0.000000
145 552.632948 55.038595 -2.494882 8.507883 0.653990 -0.265578 -0.006624 0.000000 0.000000
146 556.470677 66.276748 3.960146 6.835027 -0.628637 -0.271248 0.021397 0.000000 0.000000
147 560.308406 39.016656 3.053898 14.778504 -1.432230 -0.187620 0.021832 0.000000 0.000000
148 564.146135 26.622504 -1.867739 21.819120 1.672211 -0.123390 0.000685 0.000000 -0.000000
149 567.983864 37.794390 -1.528258 14.181424 0.717959 -0.110513 0.003780 0.000000 -0.000000
150 571.821592 50.824318 -1.866960 10.244650 0.307849 -0.096005 0.003780 0.000000 -0.000000
151 575.659321 66.453938 -2.205662 9.455659 -0.102261 -0.081497 0.003780 0.000000 -0.000000
152 579.497050 84.683249 -2.544364 11.814451 -0.512371 -0.066988 0.003780 0.000000 -0.000000
153 583.334779 105.512251 -2.883066 17.321025 -0.922481 -0.052480 0.003780 -0.000000 -0.000000
154 587.172508 128.940945 -3.221767 25.975382 -1.332591 -0.037972 0.003780 -0.000000 -0.000000
155 591.010236 154.969330 -3.560469 37.777521 -1.742701 -0.023463 0.003780 -0.000000 -0.000000
156 594.847965 183.597406 -3.899171 52.727443 -2.152811 -0.008955 0.003780 -0.000000 -0.000000
157 598.685694 214.825173 -4.237873 70.825148 -2.562922 0.005553 0.003780 -0.000000 -0.000000
158 602.523423 248.652632 -4.576575 92.070635 -2.973032 0.020062 0.003780 -0.000000 -0.000000
159 606.361152 146.941968 17.878541 193.837031 -20.802858 0.027467 0.001093 -0.000000 -0.000000
160 610.198881 105.656592 -4.903924 202.777952 19.155773 0.042641 0.007198 -0.000000 0.000000
161 614.036609 113.074942 4.402951 113.071294 4.402340 0.062691 0.002588 -0.000000 0.000000
162 617.874338 81.936385 3.711043 81.934547 3.710836 0.068874 -0.000114 -0.000000 0.000000
